"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Covington city, Virginia",,,"5,961",,,"5,954","5,955","5,855","5,821","5,833","5,802"
"Danville city, Virginia",,,"43,055",,,"43,066","42,933","42,586","42,786","42,770","42,444"
"Emporia city, Virginia",,,"5,927",,,"5,927","5,922","5,758","5,704","5,565","5,462"
"Fairfax city, Virginia",,,"22,565",,,"22,542","22,604","22,792","23,461","24,194","24,483"
"Falls Church city, Virginia",,,"12,332",,,"12,289","12,446","12,720","13,136","13,469","13,601"
"Franklin city, Virginia",,,"8,582",,,"8,561","8,585","8,431","8,494","8,632","8,526"
"Fredericksburg city, Virginia",,,"24,286",,,"24,023","24,192","25,641","27,113","27,862","28,350"
"Galax city, Virginia",,,"7,042",,,"7,042","7,077","6,877","6,921","7,014","7,014"
"Hampton city, Virginia",,,"137,436",,,"137,508","137,416","136,435","136,843","136,948","136,879"
"Harrisonburg city, Virginia",,,"48,914",,,"48,907","49,072","49,811","51,224","51,518","52,478"
"Hopewell city, Virginia",,,"22,591",,,"22,591","22,641","22,506","22,322","22,209","22,196"
"Lexington city, Virginia",,,"7,042",,,"7,038","7,062","6,934","7,032","7,232","7,311"
"Lynchburg city, Virginia",,,"75,568",,,"75,613","75,773","76,813","77,788","78,710","79,047"
"Manassas city, Virginia",,,"37,821",,,"37,839","38,276","39,358","40,742","41,725","42,081"
"Manassas Park city, Virginia",,,"14,273",,,"14,241","14,409","14,891","15,079","15,409","15,174"
"Martinsville city, Virginia",,,"13,821",,,"13,821","13,740","13,777","13,747","13,748","13,711"
"Newport News city, Virginia",,,"180,719",,,"180,918","180,989","180,356","180,487","182,015","182,965"
"Norfolk city, Virginia",,,"242,803",,,"242,831","242,943","243,723","246,150","245,480","245,428"
"Norton city, Virginia",,,"3,958",,,"3,946","3,964","4,015","4,049","4,017","4,031"
"Petersburg city, Virginia",,,"32,420",,,"32,420","32,573","32,159","32,167","32,593","32,701"
"Poquoson city, Virginia",,,"12,150",,,"12,157","12,154","12,055","12,134","12,125","12,048"
"Portsmouth city, Virginia",,,"95,535",,,"95,535","95,495","95,816","96,546","96,174","96,004"
"Radford city, Virginia",,,"16,408",,,"16,408","16,452","16,824","16,766","17,277","17,646"
"Richmond city, Virginia",,,"204,214",,,"204,246","204,256","206,977","211,526","214,704","217,853"
"Roanoke city, Virginia",,,"97,032",,,"96,919","96,812","96,810","97,879","98,815","99,428"
"Salem city, Virginia",,,"24,802",,,"24,848","24,928","24,854","25,053","25,282","25,483"
"Staunton city, Virginia",,,"23,746",,,"23,746","23,825","24,058","23,921","24,318","24,538"
"Suffolk city, Virginia",,,"84,585",,,"84,596","84,881","84,768","85,183","85,749","86,806"
"Virginia Beach city, Virginia",,,"437,994",,,"437,966","439,073","442,984","445,769","449,308","450,980"
"Waynesboro city, Virginia",,,"21,006",,,"21,020","21,068","21,094","21,105","21,250","21,366"
"Williamsburg city, Virginia",,,"14,068",,,"13,673","13,689","14,262","14,617","14,745","14,691"
"Winchester city, Virginia",,,"26,203",,,"26,203","26,183","26,756","27,178","27,497","27,543"
"Adams County, Washington",,,"18,728",,,"18,728","18,760","18,830","18,914","19,073","19,179"
"Asotin County, Washington",,,"21,623",,,"21,623","21,697","21,911","21,873","22,104","22,189"
"Benton County, Washington",,,"175,177",,,"175,177","176,456","180,475","182,396","184,453","186,486"
"Chelan County, Washington",,,"72,453",,,"72,456","72,727","73,300","73,670","74,037","74,588"
"Clallam County, Washington",,,"71,404",,,"71,404","71,526","71,783","71,848","72,250","72,715"
"Clark County, Washington",,,"425,363",,,"425,363","426,869","432,668","437,505","443,312","451,008"
"Columbia County, Washington",,,"4,078",,,"4,078","4,112","4,022","4,001","4,036","3,985"
"Cowlitz County, Washington",,,"102,410",,,"102,410","102,392","102,329","101,777","101,729","102,133"
"Douglas County, Washington",,,"38,431",,,"38,431","38,534","38,791","39,325","39,459","39,804"
"Ferry County, Washington",,,"7,551",,,"7,551","7,549","7,689","7,719","7,663","7,667"
"Franklin County, Washington",,,"78,163",,,"78,163","79,122","83,164","85,831","86,614","87,809"
"Garfield County, Washington",,,"2,266",,,"2,266","2,265","2,248","2,225","2,248","2,215"
"Grant County, Washington",,,"89,120",,,"89,120","89,592","90,781","91,688","92,084","93,147"
"Grays Harbor County, Washington",,,"72,797",,,"72,797","72,833","72,311","71,705","71,001","70,818"
"Island County, Washington",,,"78,506",,,"78,506","78,692","78,969","79,230","78,589","79,275"
"Jefferson County, Washington",,,"29,872",,,"29,872","29,904","29,868","29,823","30,067","30,228"
"King County, Washington",,,"1,931,249",,,"1,931,256","1,937,424","1,972,113","2,008,526","2,046,956","2,079,967"
"Kitsap County, Washington",,,"251,133",,,"251,133","251,650","254,372","254,659","253,205","254,183"
"Kittitas County, Washington",,,"40,915",,,"40,909","41,011","41,575","41,638","41,781","42,522"
"Klickitat County, Washington",,,"20,318",,,"20,318","20,360","20,664","20,613","20,843","20,861"
"Lewis County, Washington",,,"75,455",,,"75,455","75,487","75,660","75,532","75,102","75,128"
"Lincoln County, Washington",,,"10,570",,,"10,570","10,563","10,513","10,437","10,283","10,250"
"Mason County, Washington",,,"60,699",,,"60,699","60,750","60,905","60,751","60,521","60,711"
"Okanogan County, Washington",,,"41,120",,,"41,120","41,236","41,325","41,218","41,136","41,290"
"Pacific County, Washington",,,"20,920",,,"20,920","20,899","20,867","20,563","20,434","20,561"
"Pend Oreille County, Washington",,,"13,001",,,"13,001","12,971","12,946","12,998","12,924","12,985"
"Pierce County, Washington",,,"795,225",,,"795,229","795,448","803,486","812,363","820,219","831,928"
"San Juan County, Washington",,,"15,769",,,"15,769","15,757","15,802","15,792","15,871","16,015"
"Skagit County, Washington",,,"116,901",,,"116,901","116,967","117,740","118,005","118,742","120,365"
"Skamania County, Washington",,,"11,066",,,"11,066","11,099","11,124","11,151","11,255","11,340"
"Snohomish County, Washington",,,"713,335",,,"713,330","715,362","722,421","732,942","746,446","759,583"
"Spokane County, Washington",,,"471,221",,,"471,221","472,019","473,381","475,704","479,327","484,318"
"Stevens County, Washington",,,"43,531",,,"43,531","43,503","43,510","43,610","43,433","43,650"
"Thurston County, Washington",,,"252,264",,,"252,264","253,046","256,481","258,713","262,561","265,851"
"Wahkiakum County, Washington",,,"3,978",,,"3,978","3,970","4,013","3,984","4,044","4,067"
"Walla Walla County, Washington",,,"58,781",,,"58,781","58,917","59,523","59,458","59,637","59,844"
"Whatcom County, Washington",,,"201,140",,,"201,140","201,518","203,329","204,827","206,248","208,351"
"Whitman County, Washington",,,"44,776",,,"44,776","44,778","45,064","46,590","46,758","46,827"
"Yakima County, Washington",,,"243,231",,,"243,231","244,146","246,159","246,721","247,297","247,687"
"Barbour County, West Virginia",,,"16,589",,,"16,589","16,596","16,596","16,860","16,796","16,766"
"Berkeley County, West Virginia",,,"104,169",,,"104,172","104,659","105,719","107,062","108,684","110,497"
"Boone County, West Virginia",,,"24,629",,,"24,627","24,612","24,474","24,397","24,087","23,714"
"Braxton County, West Virginia",,,"14,523",,,"14,519","14,525","14,541","14,485","14,445","14,463"
"Brooke County, West Virginia",,,"24,069",,,"24,070","23,991","23,919","23,791","23,706","23,530"
"Cabell County, West Virginia",,,"96,319",,,"96,317","96,347","96,557","96,935","97,181","97,109"
"Calhoun County, West Virginia",,,"7,627",,,"7,627","7,638","7,639","7,591","7,533","7,513"
"Clay County, West Virginia",,,"9,386",,,"9,386","9,359","9,378","9,251","9,202","8,941"
"Doddridge County, West Virginia",,,"8,202",,,"8,202","8,198","8,183","8,220","8,417","8,391"
"Fayette County, West Virginia",,,"46,039",,,"46,039","45,993","45,954","45,898","45,567","45,132"
"Gilmer County, West Virginia",,,"8,693",,,"8,697","8,717","8,765","8,778","8,650","8,618"
"Grant County, West Virginia",,,"11,937",,,"11,937","11,900","11,929","11,841","11,788","11,687"
"Greenbrier County, West Virginia",,,"35,480",,,"35,481","35,516","35,674","35,806","35,749","35,450"
"Hampshire County, West Virginia",,,"23,964",,,"23,964","23,951","23,792","23,678","23,467","23,483"
"Hancock County, West Virginia",,,"30,676",,,"30,675","30,662","30,516","30,328","30,229","30,112"
"Hardy County, West Virginia",,,"14,025",,,"14,025","14,028","13,981","13,870","13,973","13,923"
"Harrison County, West Virginia",,,"69,099",,,"69,102","69,240","69,269","69,148","68,926","68,761"
"Jackson County, West Virginia",,,"29,211",,,"29,211","29,250","29,303","29,280","29,187","29,126"
"Jefferson County, West Virginia",,,"53,498",,,"53,508","53,647","54,364","54,566","54,961","55,713"
"Kanawha County, West Virginia",,,"193,063",,,"193,058","193,029","192,027","192,152","191,394","190,223"
"Lewis County, West Virginia",,,"16,372",,,"16,372","16,387","16,380","16,426","16,455","16,414"
"Lincoln County, West Virginia",,,"21,720",,,"21,720","21,669","21,606","21,638","21,520","21,561"
"Logan County, West Virginia",,,"36,743",,,"36,745","36,725","36,453","36,336","35,981","35,348"
"McDowell County, West Virginia",,,"22,113",,,"22,113","22,064","21,690","21,314","20,890","20,448"
"Marion County, West Virginia",,,"56,418",,,"56,418","56,518","56,624","56,787","56,758","56,803"
"Marshall County, West Virginia",,,"33,107",,,"33,107","33,060","32,839","32,684","32,580","32,416"
"Mason County, West Virginia",,,"27,324",,,"27,326","27,335","27,318","27,222","27,146","27,016"
"Mercer County, West Virginia",,,"62,264",,,"62,266","62,313","62,437","62,358","61,910","61,785"
"Mineral County, West Virginia",,,"28,212",,,"28,212","28,248","28,093","27,933","27,707","27,578"
"Mingo County, West Virginia",,,"26,839",,,"26,834","26,766","26,591","26,122","25,948","25,716"
"Monongalia County, West Virginia",,,"96,189",,,"96,189","96,766","98,684","100,531","102,217","103,463"
"Monroe County, West Virginia",,,"13,502",,,"13,500","13,503","13,540","13,492","13,502","13,582"
"Morgan County, West Virginia",,,"17,541",,,"17,541","17,503","17,440","17,433","17,422","17,453"
"Nicholas County, West Virginia",,,"26,233",,,"26,233","26,233","26,149","26,252","25,987","25,827"
"Ohio County, West Virginia",,,"44,443",,,"44,443","44,479","44,191","44,056","43,728","43,328"
"Pendleton County, West Virginia",,,"7,695",,,"7,695","7,700","7,580","7,532","7,443","7,371"
"Pleasants County, West Virginia",,,"7,605",,,"7,605","7,577","7,599","7,592","7,596","7,634"
"Pocahontas County, West Virginia",,,"8,719",,,"8,722","8,702","8,817","8,697","8,673","8,662"
"Preston County, West Virginia",,,"33,520",,,"33,520","33,562","33,630","33,910","33,708","33,788"
"Putnam County, West Virginia",,,"55,486",,,"55,510","55,694","56,140","56,589","56,586","56,770"
"Raleigh County, West Virginia",,,"78,859",,,"78,862","78,909","79,233","79,122","78,629","78,241"
"Randolph County, West Virginia",,,"29,405",,,"29,405","29,376","29,438","29,420","29,566","29,429"
"Ritchie County, West Virginia",,,"10,449",,,"10,449","10,399","10,349","10,269","10,077","10,011"
"Roane County, West Virginia",,,"14,926",,,"14,926","14,887","14,826","14,710","14,655","14,664"
"Summers County, West Virginia",,,"13,927",,,"13,927","13,932","13,852","13,761","13,532","13,417"
"Taylor County, West Virginia",,,"16,895",,,"16,892","16,877","16,922","16,984","16,992","17,069"
"Tucker County, West Virginia",,,"7,141",,,"7,141","7,110","7,047","6,941","6,953","6,927"
"Tyler County, West Virginia",,,"9,208",,,"9,211","9,188","9,105","9,033","8,998","9,098"
"Upshur County, West Virginia",,,"24,254",,,"24,254","24,261","24,276","24,506","24,662","24,731"
"Wayne County, West Virginia",,,"42,481",,,"42,481","42,424","41,930","41,672","41,525","41,122"
"Webster County, West Virginia",,,"9,154",,,"9,154","9,146","9,148","9,016","8,881","8,834"
"Wetzel County, West Virginia",,,"16,583",,,"16,580","16,557","16,414","16,420","16,191","15,988"
"Wirt County, West Virginia",,,"5,717",,,"5,717","5,734","5,789","5,806","5,875","5,845"
"Wood County, West Virginia",,,"86,956",,,"86,956","86,981","86,798","86,561","86,400","86,237"
"Wyoming County, West Virginia",,,"23,796",,,"23,801","23,733","23,474","23,251","22,960","22,598"
"Adams County, Wisconsin",,,"20,875",,,"20,875","20,864","20,908","20,528","20,504","20,215"
"Ashland County, Wisconsin",,,"16,157",,,"16,157","16,165","16,084","15,907","16,064","16,103"
"Barron County, Wisconsin",,,"45,870",,,"45,870","45,842","45,911","45,777","45,604","45,455"
"Bayfield County, Wisconsin",,,"15,014",,,"15,014","15,014","15,106","15,090","15,125","14,985"
"Brown County, Wisconsin",,,"248,007",,,"248,007","248,484","250,556","253,014","254,765","256,670"
"Buffalo County, Wisconsin",,,"13,587",,,"13,587","13,548","13,473","13,332","13,330","13,188"
"Burnett County, Wisconsin",,,"15,457",,,"15,457","15,430","15,506","15,357","15,316","15,328"
"Calumet County, Wisconsin",,,"48,971",,,"48,971","48,989","49,684","49,704","49,644","49,491"
"Chippewa County, Wisconsin",,,"62,415",,,"62,505","62,615","62,929","63,051","63,199","63,460"
"Clark County, Wisconsin",,,"34,690",,,"34,691","34,687","34,738","34,465","34,562","34,423"
"Columbia County, Wisconsin",,,"56,833",,,"56,833","56,888","56,716","56,461","56,613","56,615"
"Crawford County, Wisconsin",,,"16,644",,,"16,644","16,615","16,664","16,531","16,424","16,392"
"Dane County, Wisconsin",,,"488,073",,,"488,075","489,007","496,307","503,293","510,027","516,284"
"Dodge County, Wisconsin",,,"88,759",,,"88,761","88,659","88,737","88,576","88,399","88,574"
"Door County, Wisconsin",,,"27,785",,,"27,785","27,712","27,883","27,710","27,873","27,766"
"Douglas County, Wisconsin",,,"44,159",,,"44,159","44,181","44,014","43,816","43,796","43,698"
"Dunn County, Wisconsin",,,"43,857",,,"43,857","43,886","43,885","43,930","44,221","44,305"
"Eau Claire County, Wisconsin",,,"98,736",,,"98,885","99,018","99,909","100,840","101,704","101,564"
"Florence County, Wisconsin",,,"4,423",,,"4,423","4,404","4,498","4,472","4,517","4,481"
"Fond du Lac County, Wisconsin",,,"101,633",,,"101,633","101,645","101,792","101,702","101,648","101,759"
"Forest County, Wisconsin",,,"9,304",,,"9,304","9,292","9,261","9,183","9,128","9,127"
"Grant County, Wisconsin",,,"51,208",,,"51,208","51,187","51,231","50,991","51,120","51,829"
"Green County, Wisconsin",,,"36,842",,,"36,842","36,852","36,972","36,881","37,086","37,063"
"Green Lake County, Wisconsin",,,"19,051",,,"19,051","19,032","19,097","19,075","18,967","18,836"
"Iowa County, Wisconsin",,,"23,687",,,"23,687","23,662","23,778","23,766","23,740","23,825"
"Iron County, Wisconsin",,,"5,916",,,"5,916","5,893","5,999","5,938","5,887","5,917"
"Jackson County, Wisconsin",,,"20,449",,,"20,441","20,465","20,534","20,477","20,585","20,652"
"Jefferson County, Wisconsin",,,"83,686",,,"83,681","83,686","83,905","84,408","84,610","84,395"
"Juneau County, Wisconsin",,,"26,664",,,"26,664","26,667","26,687","26,746","26,540","26,395"
"Kenosha County, Wisconsin",,,"166,426",,,"166,426","166,577","166,821","167,352","167,521","168,068"
"Kewaunee County, Wisconsin",,,"20,574",,,"20,574","20,574","20,617","20,618","20,474","20,444"
"La Crosse County, Wisconsin",,,"114,638",,,"114,638","114,859","115,320","116,831","117,330","118,011"
"Lafayette County, Wisconsin",,,"16,836",,,"16,836","16,793","16,953","16,872","16,766","16,853"
"Langlade County, Wisconsin",,,"19,977",,,"19,977","19,936","19,883","19,729","19,572","19,410"
"Lincoln County, Wisconsin",,,"28,743",,,"28,743","28,747","28,440","28,472","28,676","28,493"
"Manitowoc County, Wisconsin",,,"81,442",,,"81,442","81,286","81,139","80,816","80,623","80,160"
"Marathon County, Wisconsin",,,"134,063",,,"134,063","134,065","134,531","134,689","135,365","135,780"
"Marinette County, Wisconsin",,,"41,749",,,"41,749","41,705","41,454","41,488","41,497","41,298"
"Marquette County, Wisconsin",,,"15,404",,,"15,404","15,390","15,343","15,186","15,149","15,050"
"Menominee County, Wisconsin",,,"4,232",,,"4,232","4,257","4,372","4,373","4,382","4,522"
"Milwaukee County, Wisconsin",,,"947,735",,,"947,736","948,210","951,481","954,521","956,386","956,406"
"Monroe County, Wisconsin",,,"44,673",,,"44,675","44,755","45,109","45,087","45,249","45,379"
"Oconto County, Wisconsin",,,"37,660",,,"37,660","37,654","37,590","37,420","37,334","37,417"
"Oneida County, Wisconsin",,,"35,998",,,"35,998","35,938","35,826","35,746","35,696","35,563"
"Outagamie County, Wisconsin",,,"176,695",,,"176,695","176,861","177,727","178,877","180,225","182,006"
"Ozaukee County, Wisconsin",,,"86,395",,,"86,395","86,349","86,707","87,030","87,095","87,470"
"Pepin County, Wisconsin",,,"7,469",,,"7,469","7,444","7,415","7,387","7,368","7,335"
"Pierce County, Wisconsin",,,"41,019",,,"41,019","41,110","40,822","40,674","40,733","40,958"
"Polk County, Wisconsin",,,"44,205",,,"44,205","44,154","43,948","43,525","43,424","43,437"
"Portage County, Wisconsin",,,"70,019",,,"70,019","69,977","70,156","70,481","70,587","70,482"
"Price County, Wisconsin",,,"14,159",,,"14,159","14,105","14,018","13,870","13,772","13,675"
"Racine County, Wisconsin",,,"195,408",,,"195,428","195,446","194,979","194,683","194,922","195,163"
"Richland County, Wisconsin",,,"18,021",,,"18,021","17,985","17,987","17,799","17,779","17,662"
"Rock County, Wisconsin",,,"160,331",,,"160,331","160,230","160,001","160,271","160,633","161,188"
"Rusk County, Wisconsin",,,"14,755",,,"14,755","14,722","14,611","14,302","14,371","14,333"
"St. Croix County, Wisconsin",,,"84,345",,,"84,345","84,398","84,924","85,220","85,908","86,759"
"Sauk County, Wisconsin",,,"61,976",,,"61,976","62,019","62,405","62,540","63,063","63,379"
"Sawyer County, Wisconsin",,,"16,557",,,"16,557","16,561","16,530","16,540","16,513","16,437"
"Shawano County, Wisconsin",,,"41,949",,,"41,955","41,933","41,778","41,603","41,594","41,579"
